City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Maniitsoq,GL,2021-08-08 21:03:48,65.4167,-52.9,42.19,82,43,3.02
68,Thinadhoo,MV,2021-08-08 21:07:07,0.5333,72.9333,80.96,75,99,4.09
69,Sobolevo,RU,2021-08-08 21:07:07,54.4299,31.8996,60.55,78,83,3.04
70,Fort Abbas,PK,2021-08-08 21:07:07,29.1925,72.8536,98.29,33,19,4.9
71,Nanortalik,GL,2021-08-08 21:04:47,60.1432,-45.2371,43.75,87,32,14.45
72,Victoria,HK,2021-08-08 21:02:52,22.2855,114.1577,85.32,91,100,1.01
73,Seymchan,RU,2021-08-08 21:07:08,62.8833,152.4333,58.24,61,61,3.83
74,Riyadh,SA,2021-08-08 21:03:21,24.6877,46.7219,96.85,17,34,12.21
75,Laguna,US,2021-08-08 21:03:56,38.421,-121.4238,102.22,34,1,4.0
76,Mataura,NZ,2021-08-08 21:03:25,-46.1927,168.8643,38.48,97,93,3.06
77,Port Elizabeth,ZA,2021-08-08 21:03:50,-33.918,25.5701,55.09,82,99,8.43
78,Hami,CN,2021-08-08 21:07:08,42.8,93.45,82.87,15,100,5.91
79,Camacha,PT,2021-08-08 20:59:21,33.0833,-16.3333,67.53,68,40,9.22
80,Dikson,RU,2021-08-08 21:04:18,73.5069,80.5464,43.75,90,0,6.98
81,Nouadhibou,MR,2021-08-08 21:04:30,20.931,-17.0347,69.73,87,4,23.31
82,Tecpan,GT,2021-08-08 21:06:55,14.7623,-90.9947,63.45,88,100,4.32
83,Camana,PE,2021-08-08 21:07:09,-16.6228,-72.7111,60.94,84,89,11.27
84,Irkutsk,RU,2021-08-08 21:07:09,52.2978,104.2964,50.77,100,90,4.47
85,Mount Isa,AU,2021-08-08 21:01:01,-20.7333,139.5,46.17,49,0,0.0
86,Vilhena,BR,2021-08-08 21:04:52,-12.7406,-60.1458,87.93,27,8,3.18
87,Sao Filipe,CV,2021-08-08 21:03:32,14.8961,-24.4956,79.02,84,34,6.31
88,Wajir,KE,2021-08-08 21:07:10,1.7471,40.0573,77.61,52,47,19.8
89,Hasaki,JP,2021-08-08 21:02:01,35.7333,140.8333,79.2,85,50,17.25
90,Port Alfred,ZA,2021-08-08 21:03:23,-33.5906,26.891,60.8,84,79,14.79
91,Pekan,MY,2021-08-08 21:07:10,3.4836,103.3996,76.39,92,22,4.85
92,Salisbury,GB,2021-08-08 21:07:11,51.0693,-1.7957,61.47,85,70,8.3
93,Kuching,MY,2021-08-08 21:07:11,1.55,110.3333,73.62,100,20,1.14
94,Alofi,NU,2021-08-08 21:05:12,-19.0595,-169.9187,75.27,85,100,15.59
95,Luziania,BR,2021-08-08 21:07:11,-16.2525,-47.9503,76.69,36,0,5.75
96,Castro,BR,2021-08-08 21:01:16,-24.7911,-50.0119,62.17,62,99,3.83
97,Polunochnoye,RU,2021-08-08 21:07:12,60.8697,60.4153,54.28,86,94,4.47
98,Bambous Virieux,MU,2021-08-08 21:03:52,-20.3428,57.7575,68.22,85,99,21.07
99,Volkach,DE,2021-08-08 21:07:12,49.8667,10.2333,58.39,86,3,1.01
100,Sisimiut,GL,2021-08-08 21:04:54,66.9395,-53.6735,43.25,81,98,3.91
101,Saldanha,ZA,2021-08-08 21:04:38,-33.0117,17.9442,56.44,89,100,15.7
102,Catia La Mar,VE,2021-08-08 21:07:13,10.6038,-67.0303,86.2,66,40,3.44
103,Kavieng,PG,2021-08-08 21:04:13,-2.5744,150.7967,81.37,76,99,10.42
104,Ardatov,RU,2021-08-08 21:07:13,55.2421,43.097,68.22,68,100,8.32
105,Butaritari,KI,2021-08-08 21:03:28,3.0707,172.7902,83.41,63,58,11.34
106,Tiksi,RU,2021-08-08 21:03:40,71.6872,128.8694,48.6,77,55,4.38
107,Marondera,ZW,2021-08-08 21:07:13,-18.1853,31.5519,48.31,54,0,1.32
108,Santa Marta,CO,2021-08-08 21:03:17,11.2408,-74.199,88.99,65,100,3.0
109,Ilulissat,GL,2021-08-08 21:04:16,69.2167,-51.1,44.62,81,75,6.91
110,Upernavik,GL,2021-08-08 21:03:55,72.7868,-56.1549,41.63,86,100,5.5
111,Lorengau,PG,2021-08-08 21:01:15,-2.0226,147.2712,80.85,78,88,7.52
112,Saskylakh,RU,2021-08-08 21:04:43,71.9167,114.0833,59.34,69,100,3.38
113,Muros,ES,2021-08-08 21:05:30,42.7762,-9.0603,64.24,75,99,8.23
114,Mahebourg,MU,2021-08-08 21:03:31,-20.4081,57.7,68.25,85,100,21.12
115,Banyo,CM,2021-08-08 21:07:14,6.75,11.8167,64.62,96,100,2.37
116,Capaci,IT,2021-08-08 21:07:14,38.1711,13.2393,86.25,61,0,1.01
117,Sao Joao Da Barra,BR,2021-08-08 21:05:06,-21.6403,-41.0511,69.89,79,39,14.27
118,Portland,US,2021-08-08 21:05:39,45.5234,-122.6762,77.9,46,90,1.99
119,Aguas Vermelhas,BR,2021-08-08 21:07:15,-15.7472,-41.46,62.62,85,100,4.88
120,Mandurah,AU,2021-08-08 21:07:15,-32.55,115.7,57.9,68,98,28.34
121,Kaitangata,NZ,2021-08-08 21:03:58,-46.2817,169.8464,37.42,83,91,8.57
122,Hobart,AU,2021-08-08 20:58:38,-42.8794,147.3294,45.1,89,20,11.5
123,Mar Del Plata,AR,2021-08-08 21:01:55,-38.0023,-57.5575,44.26,81,100,8.19
124,Itoman,JP,2021-08-08 21:07:16,26.1247,127.6694,80.98,94,75,12.66
125,Scarborough,GB,2021-08-08 20:59:29,54.2797,-0.4044,58.93,84,53,3.0
126,Bonthe,SL,2021-08-08 21:05:21,7.5264,-12.505,77.94,76,100,9.17
127,Shirokiy,RU,2021-08-08 21:03:31,49.758,129.523,54.28,83,100,4.54
128,Mutsu,JP,2021-08-08 21:07:16,41.2894,141.2169,71.91,91,100,16.17
129,Gamba,GA,2021-08-08 21:05:26,-2.65,10.0,71.78,85,59,5.55
130,Mendi,PG,2021-08-08 21:07:17,-6.1761,143.6513,54.27,98,92,2.59
131,Sao Miguel Do Araguaia,BR,2021-08-08 21:05:23,-13.275,-50.1628,84.22,26,2,4.88
132,Reyes,BO,2021-08-08 21:07:17,-14.3167,-67.3833,92.97,29,2,4.21
133,Katsuura,JP,2021-08-08 21:04:34,35.1333,140.3,82.51,88,86,23.53
134,Lodwar,KE,2021-08-08 21:03:17,3.1191,35.5973,86.49,34,91,10.4
135,Nokha,IN,2021-08-08 21:07:18,27.6,73.4167,92.3,44,75,13.0
136,Christchurch,NZ,2021-08-08 21:00:12,-43.5333,172.6333,37.6,82,75,1.01
137,Makaha,US,2021-08-08 21:07:18,21.4694,-158.2175,87.71,57,90,10.36
138,Rurrenabaque,BO,2021-08-08 21:06:59,-14.4413,-67.5278,91.42,32,4,3.98
139,Warrnambool,AU,2021-08-08 21:07:19,-38.3833,142.4833,45.81,72,93,10.33
140,Teya,RU,2021-08-08 21:07:19,60.3778,92.6267,54.82,86,89,3.11
141,Pevek,RU,2021-08-08 21:03:33,69.7008,170.3133,37.53,81,16,11.45
142,Khatanga,RU,2021-08-08 21:04:15,71.9667,102.5,52.97,70,100,11.77
143,Jiangkou,CN,2021-08-08 21:07:19,25.4872,119.1986,79.05,96,19,5.44
144,Sitka,US,2021-08-08 21:05:14,57.0531,-135.33,62.49,72,75,11.5
145,Port Hardy,CA,2021-08-08 21:05:26,50.6996,-127.4199,61.7,77,53,13.04
146,Avarua,CK,2021-08-08 21:03:38,-21.2078,-159.775,77.05,69,90,5.75
