City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Thinadhoo,MV,0.5333,72.9333,83.08,71,46,16.98,scattered clouds
80,Manturovo,RU,58.3353,44.7619,67.28,58,60,3.31,broken clouds
81,Baragua,CU,21.6967,-78.6328,80.98,78,97,1.97,moderate rain
82,Kapaa,US,22.0752,-159.319,79.12,85,40,14.97,light rain
83,Provideniya,RU,64.3833,-173.3,47.68,98,100,5.66,overcast clouds
84,Krasnoselkup,RU,65.7,82.4667,61.07,74,100,8.12,overcast clouds
85,Byron Bay,AU,-28.65,153.6167,60.87,91,39,6.55,scattered clouds
86,Kruisfontein,ZA,-34.0033,24.7314,56.88,77,84,8.63,broken clouds
87,Ende,ID,-8.8432,121.6623,75.42,71,10,2.24,clear sky
88,Mar Del Plata,AR,-38.0023,-57.5575,48.22,100,40,12.66,scattered clouds
89,Qaanaaq,GL,77.484,-69.3632,40.78,99,100,6.4,light rain
90,Tochtepec,MX,18.8333,-97.8167,72.88,49,93,5.19,overcast clouds
91,Saint-Philippe,RE,-21.3585,55.7679,72.95,85,57,18.01,light rain
92,Saint George,US,37.1041,-113.5841,91.8,36,1,1.99,clear sky
93,Wahiawa,US,21.5028,-158.0236,73.72,84,40,4.61,light rain
94,Lokosovo,RU,61.1333,74.8167,61.77,81,10,6.78,clear sky
95,Muros,ES,42.7762,-9.0603,82.83,50,1,15.82,clear sky
96,Hilo,US,19.7297,-155.09,71.8,92,98,1.99,light rain
97,Laela,TZ,-8.5667,32.05,70.88,32,6,3.62,clear sky
98,Severo-Kurilsk,RU,50.6789,156.125,52.43,87,10,8.43,clear sky
99,Dingle,PH,10.9995,122.6711,76.44,88,47,3.04,scattered clouds
100,Bilibino,RU,68.0546,166.4372,44.53,76,100,6.08,overcast clouds
101,Husavik,IS,66.0449,-17.3389,50.77,92,100,10.16,overcast clouds
102,Coihaique,CL,-45.5752,-72.0662,48.81,57,0,0.0,clear sky
103,Rexburg,US,43.826,-111.7897,79.86,46,1,3.44,clear sky
104,Vuktyl,RU,63.8567,57.3094,58.75,78,98,18.23,overcast clouds
105,Coahuayana,MX,18.7333,-103.6833,83.68,67,52,2.3,broken clouds
106,Kita,ML,13.0349,-9.4895,83.91,67,99,1.81,light rain
107,Atuona,PF,-9.8,-139.0333,77.7,79,31,16.28,scattered clouds
108,Tarko-Sale,RU,64.9225,77.785,61.97,82,91,12.5,overcast clouds
109,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.69,86,100,0.94,overcast clouds
110,Marsh Harbour,BS,26.5412,-77.0636,84.31,70,72,16.53,broken clouds
111,Vradiyivka,UA,47.862,30.5919,77.92,41,0,6.62,clear sky
112,Poum,NC,-20.2333,164.0167,68.83,66,47,16.11,scattered clouds
113,Roald,NO,62.5833,6.1333,59.14,77,75,6.91,moderate rain
114,Sisimiut,GL,66.9395,-53.6735,48.83,93,78,13.02,moderate rain
115,Aykhal,RU,66.0,111.5,47.23,94,100,8.39,overcast clouds
116,Russellville,US,35.2784,-93.1338,81.14,69,1,0.0,clear sky
117,Klaksvik,FO,62.2266,-6.589,50.92,94,100,13.82,overcast clouds
118,Coquimbo,CL,-29.9533,-71.3436,56.93,67,20,9.22,few clouds
119,Lorengau,PG,-2.0226,147.2712,80.8,83,39,9.48,scattered clouds
120,Cape Town,ZA,-33.9258,18.4232,54.88,72,0,1.99,clear sky
121,Luderitz,NA,-26.6481,15.1594,65.26,40,0,21.07,clear sky
122,Xingyi,CN,24.1877,102.817,62.69,99,100,2.1,overcast clouds
123,Pevek,RU,69.7008,170.3133,36.95,96,100,22.84,light rain
124,Hithadhoo,MV,-0.6,73.0833,82.02,75,67,15.08,broken clouds
125,Isangel,VU,-19.55,169.2667,66.78,78,57,14.2,broken clouds
126,Kiunga,PG,-6.1219,141.2906,73.51,100,100,2.04,moderate rain
127,Tasiilaq,GL,65.6145,-37.6368,50.16,83,29,1.88,scattered clouds
128,Torbay,CA,47.6666,-52.7314,78.76,86,100,3.0,light rain
129,Virginia Beach,US,36.8529,-75.978,92.01,67,20,6.91,few clouds
130,Kudahuvadhoo,MV,2.6708,72.8944,82.83,75,50,17.78,scattered clouds
131,Whitehorse,CA,60.7161,-135.0538,52.11,80,100,4.81,overcast clouds
132,Hearst,CA,49.6835,-83.6665,65.34,37,42,8.86,scattered clouds
133,Bollnas,SE,61.3482,16.3946,62.13,78,66,8.57,broken clouds
134,Domoni,KM,-12.2569,44.5319,76.68,80,11,8.01,few clouds
135,Evensk,RU,61.95,159.2333,49.51,99,100,6.31,overcast clouds
136,Kurumkan,RU,54.3,110.3,62.51,63,11,1.99,few clouds
137,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,88,90,9.22,overcast clouds
138,Camacha,PT,33.0833,-16.3333,74.16,73,20,14.97,few clouds
139,Mount Isa,AU,-20.7333,139.5,71.37,30,0,9.22,clear sky
140,Madang,PG,-5.2246,145.7966,77.05,90,46,3.29,scattered clouds
141,Rocha,UY,-34.4833,-54.3333,55.09,88,100,6.13,overcast clouds
142,Stephenville,US,32.2207,-98.2023,89.17,57,75,0.0,broken clouds
143,Rawson,AR,-43.3002,-65.1023,55.02,57,44,12.28,scattered clouds
144,Maniitsoq,GL,65.4167,-52.9,46.38,98,100,23.8,moderate rain
145,Saint Anthony,US,45.0205,-93.218,81.01,40,1,4.0,clear sky
146,Souillac,MU,-20.5167,57.5167,72.36,77,45,14.16,scattered clouds
147,Ossora,RU,59.2353,163.0719,54.3,85,24,3.6,few clouds
